,Tweet,Target,Stance
0,"Putin, long-ago, knew he didn't need to 'dupe' @realdonaldtrump. He just BOUGHT him, cheap. #TrumpsLaundryService is the only 'successful' biz Trump &amp; Family have ever run. #TaxReturns. #TrumpRussia.",Donald Trump,AGAINST
1,Full Blown CHEAT45 #WakeUpAmerica #USA #VoterFraud #Election2020 #Trump @realDonaldTrump DO SOMETHING NOW~ #DoNothingDemocrats are working overtime to rig #Elections2020 Millions of Illegals+Dead Voters Ballots swapped Ballots tossed Voter Fraud is a traffic ticket to #Dems,Donald Trump,FAVOR
2,Ive said I am staying on Twitter. Im just helping #BuildTheBridge so if my #President wants to do both he has a platform full of followers! Its all about #Trump2020. I have respect for @parscale whos fighting against censorship! I want us to fight it not have gov. regs.,Donald Trump,FAVOR
3,"You elected this clown, now you deal with his arrogance and stupidity. #realDonaldTrump #WhiteHouse #NotMyPresident #Trump",Donald Trump,AGAINST
4,"NB: Fact MSM* not Russia, hack attacking USAs: nuclear plants power grid elections aviation while Trump is Vlads rump ... and NoKo, China, Iran, +more hacking whatever NUTS!!! #KAG2020 MSM #DoBetter #SaveAmerica _ * @CBS @ABC @MSNBC @NBC @CNN",Donald Trump,FAVOR
5,"COMPLETELY INSANE! It's not like other than Trump supporters, that people of the United States of America are just going to ""snap"" & see it his way. That ""oh, we trust Trump now!"" Truth is #POTUS45 CAN'T FIX THAT NOR HE ALONE ""IT""! #FridayThoughts pre-#WhiteHouseBriefing",Donald Trump,AGAINST
6,"It is his agenda that will carry the day from January 2021 forward, even if Trump gets the second term he manifestly does not deserve. #PoliticalRevolution",Donald Trump,AGAINST
7,The world knows America is back...and stronger than ever! Thank you @realDonaldTrump!,Donald Trump,FAVOR
8,Their heads would explode if Trump started lifting! Would be soooooo good.,Donald Trump,FAVOR
9,One problem with Trump/#GOP #MuslimBan isn't the rule itself - capricious as it is - but with the bigotry it empowers strange that some think #2ndAmendment is untouchably holy but #1stAmendment is optional #p2 #NoMuslimBanEver,Donald Trump,AGAINST
10,#NewBluehand #Bluehand RT _waleedshahid: This is a powerful video on our nation's enduring health care crisis. #Hillary #Trump,Donald Trump,AGAINST
